Date,timeFrame,gridePoints,Humidity (%),roomHeight (cm),roomWidth(cm),roomLength(cm),num_students,windowsOpen,fansWorking,temperature (oC)
9/3/2026,MORNING,K4,71.08,379,760,1516,10,26,7,29.2
9/3/2026,MORNING,L1,71.08,379,760,1516,10,26,7,29.2
9/3/2026,MORNING,L2,72.08,379,760,1516,10,26,7,29.2
9/3/2026,MORNING,L3,71.08,379,760,1516,10,26,7,29.2
9/3/2026,MORNING,L4,71.08,379,760,1516,10,26,7,29.2
9/3/2026,AFTERNOON,A1,55.08,379,760,1516,18,40,7,40
9/3/2026,AFTERNOON,A2,56.08,379,760,1516,18,40,7,40
9/3/2026,AFTERNOON,A3,56.08,379,760,1516,18,40,7,40.2
9/3/2026,AFTERNOON,A4,56.08,379,760,1516,18,40,7,40.2
9/3/2026,AFTERNOON,B1,56.08,379,760,1516,18,40,7,40
9/3/2026,AFTERNOON,B2,56.08,379,760,1516,18,40,7,40.2
9/3/2026,AFTERNOON,B3,56.08,379,760,1516,18,40,7,39.6
9/3/2026,AFTERNOON,B4,57.08,379,760,1516,18,40,7,39.6
9/3/2026,AFTERNOON,C1,57.08,379,760,1516,18,40,7,39.6
9/3/2026,AFTERNOON,C2,56.08,379,760,1516,18,40,7,39.6
9/3/2026,AFTERNOON,C3,56.08,379,760,1516,18,40,7,39.6
9/3/2026,AFTERNOON,C4,56.08,379,760,1516,18,40,7,39.6
9/3/2026,AFTERNOON,D1,57.08,379,760,1516,18,40,7,39.6
9/3/2026,AFTERNOON,D2,56.08,379,760,1516,18,40,7,39.6
9/3/2026,AFTERNOON,D3,55.08,379,760,1516,18,40,7,40
9/3/2026,AFTERNOON,D4,56.08,379,760,1516,18,40,7,40.2
9/3/2026,AFTERNOON,E1,56.08,379,760,1516,18,40,7,39.6
9/3/2026,AFTERNOON,E2,55.08,379,760,1516,18,40,7,40
9/3/2026,AFTERNOON,E3,56.08,379,760,1516,18,40,7,40.2
9/3/2026,AFTERNOON,E4,55.08,379,760,1516,18,40,7,40
9/3/2026,AFTERNOON,F1,55.08,379,760,1516,18,40,7,40
9/3/2026,AFTERNOON,F2,56.08,379,760,1516,18,40,7,40.2
9/3/2026,AFTERNOON,F3,55.08,379,760,1516,18,40,7,40.2
9/3/2026,AFTERNOON,F4,54.08,379,760,1516,18,40,7,39.6
9/3/2026,AFTERNOON,G1,54.08,379,760,1516,18,40,7,39.8
9/3/2026,AFTERNOON,G2,54.08,379,760,1516,18,40,7,39.8
9/3/2026,AFTERNOON,G3,54.08,379,760,1516,18,40,7,39.8
9/3/2026,AFTERNOON,G4,54.08,379,760,1516,18,40,7,39.8
9/3/2026,AFTERNOON,H1,54.08,379,760,1516,18,40,7,39.8
9/3/2026,AFTERNOON,H2,54.08,379,760,1516,18,40,7,39.8
9/3/2026,AFTERNOON,H3,54.08,379,760,1516,18,40,7,40.2
9/3/2026,AFTERNOON,H4,55.08,379,760,1516,18,40,7,40.2
9/3/2026,AFTERNOON,I1,55.08,379,760,1516,18,40,7,40.2
9/3/2026,AFTERNOON,I2,54.08,379,760,1516,18,40,7,40.2
9/3/2026,AFTERNOON,I3,56.08,379,760,1516,18,40,7,40.2
9/3/2026,AFTERNOON,I4,55.08,379,760,1516,18,40,7,40.2
9/3/2026,AFTERNOON,J1,53.08,379,760,1516,18,40,7,40.2
9/3/2026,AFTERNOON,J2,53.08,379,760,1516,18,40,7,40.2
9/3/2026,AFTERNOON,J3,52.08,379,760,1516,18,40,7,40.2
9/3/2026,AFTERNOON,J4,54.08,379,760,1516,18,40,7,40.2
9/3/2026,AFTERNOON,K1,52.08,379,760,1516,18,40,7,40.2
9/3/2026,AFTERNOON,K2,54.08,379,760,1516,18,40,7,40.2
9/3/2026,AFTERNOON,K3,55.08,379,760,1516,18,40,7,40.2
9/3/2026,AFTERNOON,K4,54.08,379,760,1516,18,40,7,40.2
9/3/2026,AFTERNOON,L1,54.08,379,760,1516,18,40,7,40.2
9/3/2026,AFTERNOON,L2,55.08,379,760,1516,18,40,7,40.2
